Label,EmailText
ham,Call me when you are free. now
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
ham,Call me when you are free. now
ham,Please find the attached document for your review. reply
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. !!!
ham,Please find the attached document for your review. call
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,I'll reach office by 10am. reply
ham,"Hey, are we meeting later today? call"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Meeting got postponed to next week. ok
ham,Call me when you are free. now
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
ham,See you at the gym later! reply
ham,Please find the attached document for your review. urgent
ham,Did you finish the project presentation? !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
spam,WINNER!! As a valued customer you have been selected for a £900 reward! pls
spam,"You have won a lottery of $10,000! Send your details immediately to claim. ok"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
ham,Let's have lunch tomorrow at 1 pm. pls
ham,"Hey, are we meeting later today? !!!"
ham,See you at the gym later! ok
ham,Don't forget to buy groceries on your way home. ok
ham,Meeting got postponed to next week. now
ham,See you at the gym later! call
ham,Call me when you are free. reply
ham,I'll reach office by 10am. ok
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. call"
ham,Did you finish the project presentation? call
ham,"Hey, are we meeting later today? "
ham,"Hey, are we meeting later today? call"
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! urgent"
ham,Don't forget to buy groceries on your way home. 
ham,Did you finish the project presentation? reply
ham,"Hey, are we meeting later today? urgent"
ham,Call me when you are free. call
ham,I'll reach office by 10am. now
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,Call me when you are free. urgent
ham,"Hey, are we meeting later today? pls"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. 
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. ok
ham,Call me when you are free. !!!
ham,Did you finish the project presentation? !!!
ham,Can you send me the report by evening? urgent
ham,Let's have lunch tomorrow at 1 pm. !!!
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,"Hey, are we meeting later today? "
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. 
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! pls"
ham,"Hey, are we meeting later today? reply"
ham,Meeting got postponed to next week. pls
ham,Please find the attached document for your review. 
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! urgent"
ham,Meeting got postponed to next week. ok
ham,Please find the attached document for your review. now
ham,I'll reach office by 10am. call
ham,Did you finish the project presentation? !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. reply
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. ok
ham,Don't forget to buy groceries on your way home. pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. pls"
ham,Can you send me the report by evening? !!!
ham,"Hey, are we meeting later today? "
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
ham,See you at the gym later! urgent
ham,Meeting got postponed to next week. urgent
spam,WINNER!! As a valued customer you have been selected for a £900 reward! !!!
ham,Don't forget to buy groceries on your way home. now
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! call"
ham,See you at the gym later! now
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
ham,I'll reach office by 10am. now
ham,"Hey, are we meeting later today? reply"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! !!!"
ham,Let's have lunch tomorrow at 1 pm. reply
ham,Did you finish the project presentation? now
ham,Don't forget to buy groceries on your way home. reply
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. now
ham,Don't forget to buy groceries on your way home. now
ham,I'll reach office by 10am. call
ham,Please find the attached document for your review. 
ham,Can you send me the report by evening? urgent
ham,Can you send me the report by evening? now
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. reply"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. 
ham,Meeting got postponed to next week. !!!
ham,Can you send me the report by evening? reply
spam,WINNER!! As a valued customer you have been selected for a £900 reward! reply
ham,I'll reach office by 10am. !!!
ham,Please find the attached document for your review. call
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! pls"
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! !!!"
ham,Did you finish the project presentation? urgent
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! ok"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,Meeting got postponed to next week. reply
ham,Let's have lunch tomorrow at 1 pm. urgent
ham,I'll reach office by 10am. pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
ham,Don't forget to buy groceries on your way home. reply
ham,Please find the attached document for your review. !!!
spam,"You have won a lottery of $10,000! Send your details immediately to claim. reply"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. now
ham,Did you finish the project presentation? call
ham,I'll reach office by 10am. ok
ham,Call me when you are free. call
spam,WINNER!! As a valued customer you have been selected for a £900 reward! call
ham,Can you send me the report by evening? now
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Don't forget to buy groceries on your way home. reply
ham,Please find the attached document for your review. call
ham,See you at the gym later! ok
spam,"You have won a lottery of $10,000! Send your details immediately to claim. urgent"
ham,Meeting got postponed to next week. reply
ham,Don't forget to buy groceries on your way home. 
ham,Call me when you are free. reply
ham,Can you send me the report by evening? urgent
ham,Call me when you are free. call
ham,Please find the attached document for your review. ok
ham,Can you send me the report by evening? reply
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
ham,Call me when you are free. ok
ham,Please find the attached document for your review. call
ham,I'll reach office by 10am. pls
ham,Meeting got postponed to next week. urgent
ham,See you at the gym later! urgent
ham,Please find the attached document for your review. now
ham,"Hey, are we meeting later today? now"
ham,Can you send me the report by evening? !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
ham,Please find the attached document for your review. ok
ham,Let's have lunch tomorrow at 1 pm. 
ham,"Hey, are we meeting later today? urgent"
ham,Can you send me the report by evening? pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. urgent"
ham,Did you finish the project presentation? ok
ham,Did you finish the project presentation? urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. ok"
ham,I'll reach office by 10am. ok
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! call"
ham,Let's have lunch tomorrow at 1 pm. call
ham,I'll reach office by 10am. ok
ham,See you at the gym later! ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,Please find the attached document for your review. !!!
ham,Don't forget to buy groceries on your way home. reply
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. now"
ham,See you at the gym later! !!!
ham,Call me when you are free. urgent
ham,Did you finish the project presentation? urgent
ham,Please find the attached document for your review. pls
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. pls
ham,Did you finish the project presentation? !!!
ham,Meeting got postponed to next week. !!!
ham,"Hey, are we meeting later today? call"
ham,Please find the attached document for your review. ok
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. pls
ham,I'll reach office by 10am. ok
ham,Let's have lunch tomorrow at 1 pm. now
ham,See you at the gym later! 
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. 
ham,Call me when you are free. now
ham,"Hey, are we meeting later today? ok"
spam,"You have won a lottery of $10,000! Send your details immediately to claim. call"
ham,See you at the gym later! urgent
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. call
ham,Can you send me the report by evening? reply
ham,Let's have lunch tomorrow at 1 pm. urgent
ham,See you at the gym later! !!!
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. !!!"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
ham,Call me when you are free. pls
ham,Please find the attached document for your review. urgent
ham,Please find the attached document for your review. pls
ham,Don't forget to buy groceries on your way home. !!!
spam,WINNER!! As a valued customer you have been selected for a £900 reward! 
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. reply"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! now"
ham,I'll reach office by 10am. 
ham,"Hey, are we meeting later today? urgent"
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. pls
ham,Don't forget to buy groceries on your way home. !!!
ham,See you at the gym later! reply
ham,Call me when you are free. reply
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
ham,Can you send me the report by evening? ok
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. pls"
ham,"Hey, are we meeting later today? now"
ham,"Hey, are we meeting later today? ok"
ham,Did you finish the project presentation? call
ham,Let's have lunch tomorrow at 1 pm. call
ham,Did you finish the project presentation? ok
ham,Can you send me the report by evening? reply
ham,See you at the gym later! ok
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. urgent"
ham,See you at the gym later! ok
ham,Let's have lunch tomorrow at 1 pm. 
ham,Meeting got postponed to next week. ok
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. "
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! now"
ham,"Hey, are we meeting later today? reply"
ham,See you at the gym later! pls
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
ham,Can you send me the report by evening? 
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! reply"
ham,See you at the gym later! reply
ham,Please find the attached document for your review. 
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. urgent
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. !!!
ham,See you at the gym later! reply
ham,Can you send me the report by evening? !!!
ham,Call me when you are free. call
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. call
ham,Did you finish the project presentation? !!!
ham,Can you send me the report by evening? ok
ham,Don't forget to buy groceries on your way home. ok
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. ok"
ham,Don't forget to buy groceries on your way home. now
ham,I'll reach office by 10am. !!!
ham,Call me when you are free. call
ham,"Hey, are we meeting later today? now"
ham,Can you send me the report by evening? 
ham,See you at the gym later! call
ham,"Hey, are we meeting later today? now"
ham,Please find the attached document for your review. !!!
ham,See you at the gym later! ok
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,"Hey, are we meeting later today? call"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. reply"
ham,"Hey, are we meeting later today? !!!"
ham,Don't forget to buy groceries on your way home. call
ham,See you at the gym later! reply
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! ok"
ham,Can you send me the report by evening? urgent
ham,Let's have lunch tomorrow at 1 pm. urgent
ham,Did you finish the project presentation? 
ham,See you at the gym later! call
ham,Can you send me the report by evening? pls
ham,Can you send me the report by evening? pls
ham,See you at the gym later! reply
ham,See you at the gym later! 
ham,Meeting got postponed to next week. 
ham,Did you finish the project presentation? 
ham,"Hey, are we meeting later today? pls"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. now"
ham,Don't forget to buy groceries on your way home. pls
ham,Don't forget to buy groceries on your way home. ok
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,Can you send me the report by evening? call
ham,Meeting got postponed to next week. !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. reply
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,Please find the attached document for your review. 
ham,Call me when you are free. ok
ham,Please find the attached document for your review. 
ham,Can you send me the report by evening? urgent
ham,Please find the attached document for your review. 
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Please find the attached document for your review. call
ham,Meeting got postponed to next week. 
ham,Please find the attached document for your review. ok
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. pls
ham,Call me when you are free. call
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. urgent"
ham,See you at the gym later! call
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. call
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. 
ham,Let's have lunch tomorrow at 1 pm. pls
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. ok
ham,Meeting got postponed to next week. 
ham,Don't forget to buy groceries on your way home. urgent
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. pls
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. call
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. call
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
ham,"Hey, are we meeting later today? urgent"
ham,I'll reach office by 10am. ok
ham,I'll reach office by 10am. pls
ham,"Hey, are we meeting later today? "
ham,Please find the attached document for your review. call
ham,Did you finish the project presentation? urgent
ham,Meeting got postponed to next week. 
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. pls
ham,Meeting got postponed to next week. reply
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! "
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! now"
ham,Did you finish the project presentation? call
ham,Can you send me the report by evening? urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. urgent"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. reply
ham,Call me when you are free. urgent
ham,Can you send me the report by evening? urgent
ham,Can you send me the report by evening? 
ham,Call me when you are free. reply
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! "
spam,WINNER!! As a valued customer you have been selected for a £900 reward! pls
ham,Don't forget to buy groceries on your way home. ok
ham,Meeting got postponed to next week. urgent
ham,Let's have lunch tomorrow at 1 pm. pls
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. reply"
ham,See you at the gym later! now
ham,Call me when you are free. ok
ham,"Hey, are we meeting later today? urgent"
ham,Don't forget to buy groceries on your way home. pls
ham,Did you finish the project presentation? ok
ham,I'll reach office by 10am. call
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Please find the attached document for your review. reply
ham,Meeting got postponed to next week. reply
ham,Please find the attached document for your review. 
ham,See you at the gym later! now
ham,I'll reach office by 10am. urgent
ham,Let's have lunch tomorrow at 1 pm. 
ham,Please find the attached document for your review. !!!
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! call"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. pls
ham,Meeting got postponed to next week. pls
ham,Did you finish the project presentation? pls
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! ok"
ham,Let's have lunch tomorrow at 1 pm. call
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! reply"
ham,I'll reach office by 10am. 
ham,Meeting got postponed to next week. urgent
ham,Please find the attached document for your review. !!!
ham,Can you send me the report by evening? urgent
ham,Don't forget to buy groceries on your way home. now
ham,Meeting got postponed to next week. pls
ham,"Hey, are we meeting later today? ok"
ham,I'll reach office by 10am. call
ham,I'll reach office by 10am. pls
ham,Call me when you are free. 
ham,Don't forget to buy groceries on your way home. !!!
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
spam,WINNER!! As a valued customer you have been selected for a £900 reward! 
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! reply"
ham,Did you finish the project presentation? pls
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. now"
spam,"You have won a lottery of $10,000! Send your details immediately to claim. !!!"
ham,Did you finish the project presentation? !!!
ham,Did you finish the project presentation? reply
ham,Did you finish the project presentation? call
ham,See you at the gym later! 
ham,"Hey, are we meeting later today? ok"
ham,Please find the attached document for your review. call
ham,Meeting got postponed to next week. now
ham,"Hey, are we meeting later today? ok"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. urgent
spam,WINNER!! As a valued customer you have been selected for a £900 reward! call
ham,Call me when you are free. !!!
ham,Call me when you are free. now
ham,Call me when you are free. !!!
ham,Please find the attached document for your review. reply
ham,Meeting got postponed to next week. now
ham,I'll reach office by 10am. now
ham,"Hey, are we meeting later today? urgent"
ham,Meeting got postponed to next week. reply
ham,Call me when you are free. reply
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,Call me when you are free. pls
ham,Please find the attached document for your review. !!!
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
ham,Can you send me the report by evening? pls
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. "
ham,I'll reach office by 10am. 
ham,Don't forget to buy groceries on your way home. !!!
ham,I'll reach office by 10am. ok
ham,See you at the gym later! ok
ham,Don't forget to buy groceries on your way home. ok
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! ok"
ham,Can you send me the report by evening? reply
ham,See you at the gym later! ok
ham,"Hey, are we meeting later today? urgent"
ham,Call me when you are free. pls
ham,I'll reach office by 10am. !!!
ham,Please find the attached document for your review. urgent
ham,Meeting got postponed to next week. !!!
ham,Please find the attached document for your review. reply
ham,Don't forget to buy groceries on your way home. ok
ham,Can you send me the report by evening? pls
ham,Call me when you are free. pls
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,"Hey, are we meeting later today? !!!"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. pls"
ham,"Hey, are we meeting later today? urgent"
spam,"You have won a lottery of $10,000! Send your details immediately to claim. pls"
ham,Don't forget to buy groceries on your way home. 
ham,"Hey, are we meeting later today? call"
ham,See you at the gym later! pls
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,Can you send me the report by evening? reply
ham,Let's have lunch tomorrow at 1 pm. call
ham,I'll reach office by 10am. ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. 
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! pls"
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. ok
ham,See you at the gym later! urgent
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. urgent
ham,See you at the gym later! 
ham,Let's have lunch tomorrow at 1 pm. now
ham,Did you finish the project presentation? ok
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! "
spam,WINNER!! As a valued customer you have been selected for a £900 reward! ok
ham,Meeting got postponed to next week. reply
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. reply
ham,Can you send me the report by evening? ok
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
ham,See you at the gym later! !!!
ham,Did you finish the project presentation? now
ham,Can you send me the report by evening? 
ham,Let's have lunch tomorrow at 1 pm. !!!
ham,Call me when you are free. 
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. pls"
ham,Please find the attached document for your review. !!!
ham,Don't forget to buy groceries on your way home. now
ham,"Hey, are we meeting later today? reply"
ham,Meeting got postponed to next week. reply
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
ham,Meeting got postponed to next week. urgent
ham,Let's have lunch tomorrow at 1 pm. pls
ham,"Hey, are we meeting later today? ok"
ham,Please find the attached document for your review. urgent
ham,Don't forget to buy groceries on your way home. call
ham,I'll reach office by 10am. ok
ham,Meeting got postponed to next week. 
ham,Don't forget to buy groceries on your way home. pls
ham,Please find the attached document for your review. pls
ham,Let's have lunch tomorrow at 1 pm. now
ham,"Hey, are we meeting later today? "
ham,Let's have lunch tomorrow at 1 pm. ok
ham,"Hey, are we meeting later today? call"
ham,I'll reach office by 10am. urgent
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
ham,See you at the gym later! !!!
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! !!!"
ham,See you at the gym later! 
ham,Don't forget to buy groceries on your way home. pls
ham,Please find the attached document for your review. urgent
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. "
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. urgent"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! ok"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. call"
ham,See you at the gym later! ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. call
ham,See you at the gym later! 
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
ham,"Hey, are we meeting later today? ok"
ham,I'll reach office by 10am. 
ham,Please find the attached document for your review. now
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! urgent"
ham,See you at the gym later! urgent
ham,Don't forget to buy groceries on your way home. call
ham,Don't forget to buy groceries on your way home. reply
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. reply
ham,Can you send me the report by evening? reply
ham,See you at the gym later! reply
ham,Did you finish the project presentation? now
ham,Can you send me the report by evening? now
ham,Did you finish the project presentation? now
ham,"Hey, are we meeting later today? "
ham,Did you finish the project presentation? pls
ham,See you at the gym later! 
ham,Please find the attached document for your review. !!!
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! now"
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. urgent
ham,Can you send me the report by evening? reply
ham,Did you finish the project presentation? pls
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! reply"
ham,Let's have lunch tomorrow at 1 pm. pls
ham,"Hey, are we meeting later today? pls"
ham,Meeting got postponed to next week. 
ham,Call me when you are free. ok
ham,Please find the attached document for your review. call
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. 
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! now"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. reply
ham,Call me when you are free. reply
ham,Let's have lunch tomorrow at 1 pm. urgent
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. now"
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. 
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. 
ham,Call me when you are free. urgent
ham,See you at the gym later! ok
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
ham,Please find the attached document for your review. call
spam,WINNER!! As a valued customer you have been selected for a £900 reward! now
ham,Don't forget to buy groceries on your way home. now
ham,Please find the attached document for your review. !!!
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. ok
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. urgent
ham,Can you send me the report by evening? call
ham,See you at the gym later! call
spam,"You have won a lottery of $10,000! Send your details immediately to claim. now"
ham,Don't forget to buy groceries on your way home. !!!
ham,Please find the attached document for your review. call
ham,Call me when you are free. !!!
ham,Meeting got postponed to next week. reply
ham,Call me when you are free. 
ham,I'll reach office by 10am. urgent
spam,"You have won a lottery of $10,000! Send your details immediately to claim. ok"
spam,"You have won a lottery of $10,000! Send your details immediately to claim. !!!"
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. reply
ham,Meeting got postponed to next week. urgent
ham,I'll reach office by 10am. !!!
ham,Let's have lunch tomorrow at 1 pm. now
ham,Let's have lunch tomorrow at 1 pm. urgent
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
ham,Call me when you are free. pls
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. 
ham,Please find the attached document for your review. pls
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. now
ham,Let's have lunch tomorrow at 1 pm. reply
ham,Call me when you are free. call
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. now
ham,See you at the gym later! reply
ham,Did you finish the project presentation? pls
ham,Meeting got postponed to next week. now
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! reply"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text WIN to 87575. reply"
ham,I'll reach office by 10am. !!!
ham,Call me when you are free. !!!
ham,Call me when you are free. pls
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! pls"
ham,I'll reach office by 10am. call
ham,Did you finish the project presentation? urgent
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! ok"
ham,Let's have lunch tomorrow at 1 pm. now
ham,I'll reach office by 10am. !!!
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. 
ham,Can you send me the report by evening? !!!
ham,Meeting got postponed to next week. reply
ham,Did you finish the project presentation? now
ham,See you at the gym later! reply
ham,Let's have lunch tomorrow at 1 pm. call
ham,Can you send me the report by evening? pls
ham,Please find the attached document for your review. urgent
ham,Let's have lunch tomorrow at 1 pm. pls
ham,Did you finish the project presentation? 
ham,"Hey, are we meeting later today? now"
ham,Meeting got postponed to next week. call
ham,Can you send me the report by evening? reply
spam,"You have won a lottery of $10,000! Send your details immediately to claim. reply"
spam,"Get cheap loans now! Low interest, quick approval. Reply YES to apply. "
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! !!!"
ham,Can you send me the report by evening? 
ham,I'll reach office by 10am. now
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! ok"
ham,Call me when you are free. call
ham,Please find the attached document for your review. !!!
ham,Call me when you are free. urgent
ham,Can you send me the report by evening? ok
spam,WINNER!! As a valued customer you have been selected for a £900 reward! reply
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! !!!"
ham,Did you finish the project presentation? pls
ham,See you at the gym later! call
ham,See you at the gym later! urgent
ham,Let's have lunch tomorrow at 1 pm. ok
ham,"Hey, are we meeting later today? call"
ham,Let's have lunch tomorrow at 1 pm. urgent
spam,Win a brand new iPhone! Reply WIN or visit our site to claim your reward. now
spam,You’ve been selected to receive a $1000 Walmart gift card. Visit our link now. now
ham,Please find the attached document for your review. 
spam,Congratulations! You've won a free ticket to Bahamas! Call now to claim. !!!
ham,"Hey, are we meeting later today? call"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! call"
spam,"You have won a lottery of $10,000! Send your details immediately to claim. !!!"
ham,Don't forget to buy groceries on your way home. now
ham,Can you send me the report by evening? !!!
spam,"You have won a lottery of $10,000! Send your details immediately to claim. call"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 prize jackpot! now"
ham,"Hey, are we meeting later today? reply"
ham,Did you finish the project presentation? pls
ham,"Hey, are we meeting later today? pls"
ham,Don't forget to buy groceries on your way home. now
ham,Meeting got postponed to next week. 
ham,Meeting got postponed to next week. ok
spam,"Your number has won 10,000 GBP in our lucky draw. Contact us immediately! !!!"
ham,"Hey, are we meeting later today? now"
ham,Let's have lunch tomorrow at 1 pm. urgent
ham,Don't forget to buy groceries on your way home. reply
spam,Claim your free ringtone by texting WIN to 80082! Offer ends soon. reply
ham,Did you finish the project presentation? now
ham,"Hey, are we meeting later today? !!!"
spam,WINNER!! As a valued customer you have been selected for a £900 reward! pls
ham,Meeting got postponed to next week. !!!
ham,Can you send me the report by evening? call
ham,I'll reach office by 10am. now
spam,WINNER!! As a valued customer you have been selected for a £900 reward! call
ham,Can you send me the report by evening? now
ham,Meeting got postponed to next week. call
ham,"Hey, are we meeting later today? "
ham,"Hey, are we meeting later today? ok"
ham,Did you finish the project presentation? ok
ham,I'll reach office by 10am. pls
